"","Full-time","Aspiring Academic","Career-Ender","Expert","Freelancer"
"Avg. Age",48.59,54.94,63.98,49.32,46.48
"Female",0.56,0.52,0.44,0.4,0.62
"Married",0.77,0.83,0.79,0.76,0.74
"White",0.84,0.89,0.8,0.78,0.79
"Ph.D.",0.37,0.24,0.29,0.14,0.27
"Professional",0.09,0.11,0.14,0.12,0.07
"Masters",0.49,0.54,0.48,0.64,0.59
"BA or Less",0.05,0.11,0.09,0.1,0.07
"Teacher",0.8,0.95,0.95,0.98,0.96
"Researcher",0.04,0.01,0.02,0.01,0.01
"Administrator",0.11,0.01,0.02,0.01,0.01
"Other",0.05,0.03,0.02,0.01,0.02
"4-year",0.64,0.69,0.69,0.66,0.71
"2-year",0,0.04,0.07,0.04,0.04
"University",0.36,0.26,0.24,0.3,0.25
"Public",0.38,0.38,0.46,0.39,0.47
"Research I",0.05,0.05,0.05,0.05,0.04
"Research II",0.21,0.15,0.12,0.16,0.13
"Research III/Doctoral",0.09,0.05,0.07,0.06,0.06
"Bachelor's/Master's",0.64,0.71,0.69,0.68,0.73
"Associates/Other",0.01,0.05,0.08,0.04,0.04
"Hard/Applied",0.35,0.36,0.28,0.47,0.22
"Hard/Pure",0.04,0.03,0.05,0.01,0.03
"Soft/Applied",0.19,0.2,0.25,0.17,0.17
"Soft/Pure",0.33,0.34,0.37,0.29,0.51
"Other",0.09,0.07,0.06,0.06,0.07
"Selective",0.14,0.06,0.03,0.03,0.06
